priceRange,alcohol,noiseLevel,attire,delivery,parking,waiterService,smoking,outdoorSeating,caters,goodForGroups,goodForKids
$$,full_bar,average,casual,No,street,Yes,outdoor,Yes,No,Yes,
$,none,average,casual,No,,Yes,,No,No,No,
$$,full_bar,average,casual,No,,,,No,,Yes,
$,none,,,,,,,,,,
$$,full_bar,average,casual,No,garage,Yes,,Yes,Yes,Yes,
$,none,average,casual,No,,,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,No,,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,lot,Yes,outdoor,Yes,Yes,Yes,
$$,none,,,,street,No,,,,,
$,none,,,,,,,Yes,,,
$$,full_bar,average,casual,No,,No,,Yes,,Yes,
$,none,loud,casual,No,lot,Yes,,No,No,Yes,
$$,full_bar,average,casual,No,lot,No,,Yes,Yes,No,
$$,none,average,dressy,No,,No,,Yes,,Yes,
$$,none,,,No,street,,,,,,
$,none,quiet,casual,No,,No,,No,,Yes,
$$,none,quiet,casual,Yes,lot,No,,Yes,Yes,Yes,
$,none,average,casual,Yes,lot,No,,Yes,Yes,Yes,Yes
$$,full_bar,average,casual,No,garage,Yes,,Yes,No,Yes,No
$$,full_bar,average,casual,No,,No,,No,,Yes,
$,none,average,casual,No,,Yes,,No,,No,
$,full_bar,,casual,No,lot,No,,No,,Yes,
$$,full_bar,average,casual,Yes,,No,,Yes,,Yes,
$$,none,quiet,casual,Yes,lot,,,No,,Yes,
$,none,average,casual,No,,Yes,,Yes,,Yes,
$$,full_bar,loud,casual,No,lot,No,,Yes,,Yes,
$,none,,,,street,,,,Yes,,
$,beer_and_wine,average,casual,No,street,Yes,,No,No,Yes,
$,beer_and_wine,average,casual,No,,Yes,,No,Yes,Yes,
$$,beer_and_wine,,casual,No,,,,No,,Yes,
$,none,average,casual,No,lot,No,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,outdoor,Yes,No,Yes,
$,none,average,casual,No,lot,Yes,,No,,Yes,
$$,full_bar,very_loud,,,valet,,yes,No,,Yes,
$,none,,casual,No,,,,Yes,Yes,Yes,
$$,none,,,,lot,,,,,,
$,beer_and_wine,loud,casual,,,,,No,,Yes,
$$$,full_bar,very_loud,casual,No,valet,No,,Yes,,Yes,No
$$$,full_bar,average,casual,No,valet,,,Yes,No,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,none,quiet,casual,No,lot,No,,No,Yes,Yes,
$$,full_bar,loud,casual,No,lot,Yes,,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,full_bar,very_loud,casual,No,lot,Yes,outdoor,Yes,,Yes,
$$,beer_and_wine,average,casual,No,lot,No,,No,,Yes,
$$,full_bar,average,casual,No,garage,Yes,,No,,Yes,
$,none,average,casual,No,lot,Yes,,No,,Yes,
$$,full_bar,average,casual,No,lot,Yes,no,Yes,No,Yes,Yes
$,full_bar,average,casual,No,lot,No,,No,,Yes,Yes
$$,none,,,,lot,,,,,,
$$,none,,,,street,,,No,,,
$$,beer_and_wine,average,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$$,none,,casual,Yes,,,,,,,
$,full_bar,average,casual,No,,No,,No,,Yes,
$$,none,average,casual,No,lot,No,,No,Yes,Yes,
$$,none,average,casual,No,,,,Yes,,Yes,
$,none,,,,lot,,,,,,
$$$,none,,,,lot,,,,,,
$,none,,,Yes,lot,,,,,,
$,none,loud,casual,No,,Yes,,Yes,Yes,Yes,
$$$$,full_bar,average,dressy,No,,Yes,,No,,Yes,
$$$,full_bar,quiet,dressy,No,valet,Yes,,Yes,Yes,Yes,
$,none,average,casual,Yes,lot,No,,No,Yes,Yes,
$,none,quiet,casual,No,lot,No,,Yes,No,No,
$$,none,quiet,casual,No,lot,,,No,Yes,Yes,
$$,beer_and_wine,average,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$$,none,,,,lot,,,Yes,,,
$,none,,,,,,,,,,
$,none,,casual,No,,Yes,,,,No,
$$,full_bar,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,yes,No,,Yes,
$$,full_bar,,,,,Yes,no,No,,Yes,
$,none,quiet,casual,No,,Yes,,No,,Yes,
$$,full_bar,,casual,No,lot,Yes,,No,,Yes,
$,none,loud,casual,No,street,No,,Yes,No,Yes,
$$,none,,,,street,,,,,,
$,none,,casual,Yes,,,,,,,
$,none,loud,casual,No,lot,Yes,,No,No,Yes,
$,none,,casual,No,,Yes,,No,,Yes,
$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,
$$,full_bar,loud,casual,No,street,Yes,,Yes,Yes,Yes,
$$$,full_bar,,casual,No,street,No,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,
$$,none,,casual,No,street,,,No,,Yes,
$,full_bar,,,,,Yes,yes,No,,Yes,
$,none,average,casual,No,lot,No,,Yes,No,No,
$$,full_bar,very_loud,casual,No,street,Yes,yes,No,No,Yes,
$$,none,,,,garage,No,,,,,
$$,none,,casual,Yes,,,,No,,Yes,
$,none,quiet,casual,Yes,lot,Yes,,Yes,Yes,Yes,Yes
$$,none,average,casual,No,,Yes,,No,Yes,Yes,
$,none,average,casual,No,lot,No,,No,Yes,Yes,
$$$,none,,,,street,,,,,,
$$,full_bar,average,casual,No,lot,Yes,outdoor,Yes,Yes,Yes,
$$,none,,,,lot,,,,,,
$$,beer_and_wine,quiet,casual,No,lot,Yes,,No,No,Yes,
$$,full_bar,loud,casual,No,street,Yes,,No,No,Yes,
$,none,average,casual,No,lot,Yes,,No,No,Yes,Yes
$,none,,,,lot,Yes,,Yes,,,
$,none,average,casual,No,,Yes,,No,,Yes,
$,none,loud,casual,No,lot,Yes,,Yes,No,Yes,
$,none,quiet,casual,Yes,lot,No,,No,No,Yes,
$$,full_bar,average,casual,No,lot,No,,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,garage,No,,No,No,Yes,Yes
$,none,,,,street,,,,,,
$$,none,quiet,casual,No,street,Yes,,No,Yes,Yes,
$$,full_bar,average,,,street,,no,No,,Yes,
$,none,,,,garage,,,,,,
$$,full_bar,average,,,lot,,yes,No,,Yes,
$$,full_bar,average,casual,No,,No,,No,Yes,Yes,
$,none,,,,lot,,,,,,
$$,full_bar,average,casual,No,garage,Yes,,No,No,Yes,
$,full_bar,average,casual,No,lot,Yes,,No,,Yes,
$$$,full_bar,average,dressy,No,valet,,,No,No,Yes,
$$,none,,formal,No,,No,,,,Yes,
$$,none,quiet,casual,Yes,lot,Yes,,No,,Yes,
$,none,average,casual,No,lot,Yes,,Yes,No,Yes,
$,none,average,,No,,,,No,,,
$$,none,average,casual,No,,No,,No,,Yes,
$$,full_bar,very_loud,casual,,,,,No,,No,
$$,beer_and_wine,average,casual,No,lot,Yes,,No,No,Yes,
$,none,quiet,casual,Yes,lot,No,,Yes,,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,none,quiet,casual,No,,Yes,,Yes,No,Yes,
$$,full_bar,average,casual,No,valet,Yes,,No,No,Yes,
$$,none,average,casual,No,lot,Yes,,No,,Yes,
$$,none,,casual,,,No,,No,,Yes,
$,none,,,,lot,Yes,,,,,
$,none,,casual,,lot,Yes,,No,Yes,Yes,
$$,full_bar,loud,casual,No,lot,Yes,outdoor,Yes,No,Yes,
$$,full_bar,average,casual,No,,Yes,,Yes,,Yes,
$$,none,,,No,garage,,,,Yes,No,
$$,beer_and_wine,average,,,,,no,No,,Yes,
$$$,full_bar,quiet,dressy,No,valet,No,outdoor,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,none,very_loud,casual,No,,Yes,,No,Yes,No,
$,none,average,casual,No,lot,No,,Yes,No,Yes,
$$,full_bar,quiet,casual,No,,Yes,outdoor,Yes,,Yes,
$,none,average,casual,No,,,,No,No,Yes,
$,none,average,casual,No,lot,No,,No,,Yes,
$$,none,average,casual,Yes,,No,,No,,Yes,
$$,none,,,,lot,Yes,,Yes,,,
$$,none,average,casual,No,street,Yes,,No,No,Yes,
$,none,quiet,casual,No,lot,No,,Yes,No,Yes,
$$,beer_and_wine,quiet,casual,No,street,No,,Yes,No,Yes,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,No,,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,,No,Yes,Yes,Yes
$$,full_bar,average,casual,No,street,Yes,outdoor,Yes,No,Yes,
$$,none,,,,lot,Yes,,,,,
$,none,average,casual,No,,,,No,No,,
$$,full_bar,average,casual,No,garage,No,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,none,average,casual,Yes,,Yes,,No,,No,
$$,full_bar,average,casual,No,garage,Yes,,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,,No,No,Yes,
$$,full_bar,average,casual,No,lot,No,,No,No,Yes,
$$,none,,,,,,,,,,
$,none,quiet,casual,No,lot,Yes,,No,No,Yes,
$,none,,,,street,,,,,,
$,none,average,casual,No,lot,,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,no,Yes,Yes,Yes,
$$,none,average,casual,No,,Yes,,Yes,No,Yes,
$,none,quiet,casual,No,lot,,,No,No,Yes,
$$,none,,casual,No,,Yes,,Yes,,Yes,
$$,full_bar,loud,casual,No,garage,No,no,Yes,No,Yes,
$$,full_bar,average,casual,No,street,Yes,outdoor,Yes,No,No,
$,beer_and_wine,average,casual,No,lot,Yes,,Yes,No,Yes,
$,none,,,,lot,Yes,,Yes,,,
$$,full_bar,average,casual,No,street,Yes,no,Yes,No,No,
$,none,,,,,Yes,,,,,
$$$,none,,,,,,,,,,
$,none,,,,lot,Yes,,Yes,,,
$$,full_bar,average,,,lot,Yes,outdoor,No,,Yes,
$$,full_bar,very_loud,,,street,Yes,no,No,,Yes,
$$,beer_and_wine,average,casual,Yes,lot,No,,Yes,Yes,Yes,
$$,full_bar,average,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$,none,,,,,Yes,,,,,
$,none,average,casual,No,,Yes,,No,,Yes,
$,beer_and_wine,,,,,,,No,,Yes,
$$,none,,,,lot,,,Yes,,,
$$,beer_and_wine,,casual,,,Yes,outdoor,Yes,,Yes,
$$,full_bar,quiet,casual,Yes,lot,Yes,,Yes,,Yes,
$,none,average,casual,No,,Yes,,No,,No,
$$,none,,,,lot,Yes,,,,,
$,none,,,,lot,No,,,,,
$$,none,average,casual,No,street,No,,No,No,Yes,
$,none,quiet,casual,Yes,lot,No,,No,Yes,No,Yes
$$$,full_bar,average,casual,No,valet,No,,Yes,Yes,Yes,Yes
$$,none,,,,lot,,,,,,
$$,none,,,,lot,,,Yes,,,
$,full_bar,average,,,street,,yes,No,,Yes,
$$,none,,,,lot,Yes,,,,,
$,full_bar,loud,,,street,,yes,No,,Yes,
$$,none,quiet,casual,,,,,No,,Yes,
$$,none,,,,,,,,,,
$,none,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,full_bar,average,casual,No,valet,No,no,Yes,Yes,Yes,
$,none,average,casual,No,lot,Yes,,No,No,No,
$,none,average,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,lot,Yes,outdoor,Yes,No,Yes,
$$,none,,,,lot,,,,,,
$$,beer_and_wine,loud,casual,No,lot,No,outdoor,No,No,Yes,
$$,full_bar,average,,,street,,outdoor,No,,Yes,
$,none,average,casual,No,,No,,No,Yes,No,
$$,full_bar,loud,,,lot,,,Yes,,Yes,
$$,full_bar,average,,,street,Yes,outdoor,Yes,,Yes,
$,none,,casual,No,,No,,,No,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$$,full_bar,quiet,casual,Yes,,Yes,,Yes,Yes,Yes,
$,none,,casual,No,,,,,,Yes,
$,full_bar,average,,,,,yes,Yes,,Yes,
$$,none,,,,,,,,,,
$,none,,casual,No,garage,,,Yes,,Yes,Yes
$$,full_bar,average,casual,No,garage,Yes,outdoor,Yes,No,Yes,
$$,none,quiet,casual,Yes,,Yes,,No,Yes,Yes,
$,full_bar,,,,,,,,,,
$$,none,,,,lot,,,,,,
$$,full_bar,average,casual,Yes,lot,No,,No,Yes,Yes,Yes
$,none,loud,casual,No,garage,No,,No,No,No,
$,none,average,casual,No,lot,,,No,Yes,Yes,
$,full_bar,average,casual,No,lot,Yes,outdoor,Yes,Yes,Yes,
$,full_bar,average,,,lot,No,yes,No,,Yes,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,none,average,casual,No,,Yes,,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,outdoor,No,,Yes,No
$$$,full_bar,quiet,casual,No,,Yes,,Yes,,Yes,
$,none,,,,,,,Yes,,,
$$$,full_bar,quiet,dressy,No,valet,No,,No,No,Yes,
$,none,average,casual,No,,,,Yes,,Yes,
$,none,quiet,casual,Yes,,No,,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,garage,Yes,no,No,No,Yes,
$,none,,casual,No,,Yes,,Yes,,Yes,
$$,none,,,,lot,,,,,,
$,none,,,,street,,,,,,
$$,beer_and_wine,average,casual,No,,Yes,,No,No,Yes,
$$$,none,,casual,No,,,,Yes,,Yes,
$$,full_bar,very_loud,,,street,Yes,outdoor,Yes,,Yes,
$$,full_bar,very_loud,casual,No,street,Yes,outdoor,Yes,No,Yes,
$,none,quiet,casual,No,,Yes,,No,Yes,Yes,
$$,none,loud,,,lot,No,outdoor,No,,Yes,
$$,none,quiet,casual,No,,Yes,,No,,Yes,
$$,none,average,casual,No,lot,No,,No,No,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,,No,No,Yes,Yes
$$,beer_and_wine,very_loud,casual,Yes,,Yes,,No,Yes,Yes,
$$,none,average,casual,No,lot,,,No,No,Yes,
$,none,quiet,casual,No,,No,,Yes,Yes,Yes,
$$,none,quiet,casual,No,,Yes,,No,No,Yes,
$$,none,quiet,casual,Yes,lot,Yes,,No,Yes,Yes,
$,none,loud,casual,No,,,,No,,Yes,
$,none,,,Yes,street,,,,,,
$,beer_and_wine,quiet,casual,No,lot,No,,No,No,Yes,
$,none,,,,lot,,,,,,
$$,none,average,casual,No,lot,Yes,,No,Yes,Yes,
$,none,,,,lot,,,,,,
$$$,none,quiet,casual,No,,Yes,,No,,No,
$,none,,,,lot,,,,,,
$$,none,,,,garage,,,,,,
$$$,full_bar,very_loud,dressy,No,,No,,Yes,,Yes,
$$,full_bar,loud,casual,No,lot,Yes,,Yes,No,Yes,
$,none,average,casual,No,,Yes,,No,No,No,
$$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,
$,none,average,casual,Yes,street,Yes,,No,,Yes,
$$,none,average,casual,Yes,,Yes,,No,,Yes,
$,none,quiet,casual,No,lot,Yes,,No,No,Yes,
$$,full_bar,average,casual,No,garage,Yes,,Yes,Yes,Yes,
$$,none,average,casual,No,lot,Yes,,No,Yes,Yes,Yes
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,No
$$,full_bar,very_loud,casual,No,lot,No,,Yes,No,Yes,
$$,beer_and_wine,quiet,casual,No,lot,Yes,,Yes,No,Yes,Yes
$$$,full_bar,average,dressy,No,valet,Yes,,No,No,Yes,No
$$$,full_bar,,,,lot,,,Yes,,Yes,
$,none,,,,garage,,,No,,,
$$,beer_and_wine,quiet,casual,Yes,lot,No,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,,,Yes,No,Yes,
$,none,loud,casual,Yes,lot,Yes,,Yes,Yes,Yes,
$,none,,,,lot,,,Yes,,,
$$,full_bar,average,casual,No,lot,No,,Yes,No,Yes,
$$,beer_and_wine,,casual,No,lot,,,No,,No,
$$,full_bar,,,,lot,,yes,No,,Yes,
$,full_bar,average,casual,No,lot,No,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,outdoor,No,No,Yes,
$,none,quiet,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,lot,No,outdoor,Yes,No,Yes,
$,none,,,,lot,,,,,,
$,none,average,casual,No,lot,Yes,,No,Yes,Yes,
$$$,none,,,,street,,,,,,
$$,none,,,,lot,,,,,,
$,none,quiet,,,,,,Yes,,No,
$,none,average,casual,No,lot,No,,No,No,Yes,
$,none,average,casual,No,,No,,No,,Yes,
$,none,very_loud,casual,No,lot,No,,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,no,Yes,No,Yes,
$$,none,,,,,,,,,,
$$,full_bar,average,casual,No,valet,Yes,,Yes,No,Yes,
$,full_bar,average,,,,,no,No,,Yes,
$,none,loud,casual,,,,,No,,Yes,
$,none,average,casual,No,,Yes,,Yes,No,Yes,
$$,beer_and_wine,quiet,casual,No,lot,No,,No,,No,
$,none,average,casual,No,lot,Yes,,No,No,Yes,
$,none,quiet,casual,No,,Yes,,,Yes,Yes,
$$,none,,,,lot,,,Yes,,,
$$,beer_and_wine,average,casual,No,lot,Yes,,Yes,No,Yes,
$$,full_bar,average,,,,,,No,,Yes,
$,none,quiet,casual,Yes,street,No,,Yes,Yes,Yes,
$,none,,,,lot,,,,,,
$$,full_bar,average,casual,,lot,,,Yes,,No,
$$,none,loud,casual,No,,No,,No,No,Yes,
$,none,,,,street,,,,,,
$,none,average,casual,No,lot,Yes,,Yes,,Yes,
$$,none,,,,,,,,,,
$$,beer_and_wine,,casual,,lot,,,No,,Yes,
$$,full_bar,loud,dressy,,,Yes,,Yes,,Yes,
$,full_bar,quiet,casual,Yes,lot,Yes,no,No,Yes,Yes,
$$,full_bar,average,dressy,No,garage,No,,Yes,No,Yes,
$,none,average,casual,No,,,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,garage,No,,Yes,No,Yes,
$,none,quiet,casual,No,,Yes,,Yes,Yes,Yes,
$,none,,casual,Yes,,,,No,,Yes,
$$,full_bar,average,casual,,lot,Yes,outdoor,Yes,,Yes,
$$,none,,,,lot,,,,,,
$$,full_bar,average,casual,No,street,Yes,,Yes,No,Yes,
$,none,average,,No,street,Yes,,,,,
$,none,,,,street,,,Yes,,,
$$,beer_and_wine,average,casual,No,street,No,outdoor,Yes,,Yes,
$$,none,,,,street,,,,,,
$$,full_bar,average,casual,No,,No,,Yes,,Yes,
$$,none,,,,street,,,,,,
$$$,full_bar,average,casual,No,valet,Yes,,Yes,No,Yes,
$$,full_bar,average,casual,No,,,,No,,Yes,
$$,full_bar,loud,dressy,No,garage,No,no,No,No,Yes,
$$,beer_and_wine,quiet,casual,Yes,street,Yes,,Yes,,Yes,
$,none,,casual,No,garage,Yes,,No,,Yes,Yes
$,none,loud,casual,No,,,,,,Yes,
$$,none,,,,,,,Yes,,,
$$$,beer_and_wine,,,Yes,,Yes,outdoor,No,,,No
$$,beer_and_wine,quiet,formal,No,valet,No,,Yes,,Yes,
$$,full_bar,average,casual,No,garage,Yes,,No,,Yes,
$$,full_bar,loud,casual,No,garage,Yes,,No,No,Yes,No
$,none,,,,lot,,,,,,
$,full_bar,loud,,,lot,,no,No,,Yes,
$$,full_bar,average,casual,No,,Yes,,No,No,Yes,
$,full_bar,average,casual,No,lot,Yes,,No,Yes,Yes,
$$$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,
$$,full_bar,average,casual,No,lot,,outdoor,Yes,Yes,Yes,
$$$,full_bar,,,,,,outdoor,Yes,,Yes,
$$,beer_and_wine,average,casual,Yes,lot,No,,Yes,Yes,Yes,
$,full_bar,,casual,No,,Yes,,Yes,,Yes,Yes
$$,none,,,,street,,,,,,
$$,full_bar,quiet,casual,Yes,lot,No,outdoor,Yes,Yes,Yes,
$,none,,,,lot,Yes,,,,,
$,beer_and_wine,,casual,,,,,,,,
$,none,,casual,No,,,,Yes,No,Yes,
$,none,,,,lot,,,,,,
$$,none,average,casual,,,,,,Yes,Yes,
$$,full_bar,average,casual,No,,No,,Yes,No,Yes,
$$,none,average,casual,No,street,No,,No,Yes,Yes,
$$$,full_bar,quiet,dressy,No,valet,Yes,,No,No,Yes,No
$,none,,,No,lot,,,,,Yes,
$,none,quiet,casual,Yes,lot,No,,No,Yes,No,
$$$,none,,,,lot,,,,,,
$$,beer_and_wine,quiet,casual,Yes,lot,No,,Yes,,No,
$,none,,,,garage,Yes,,Yes,,,
$$,full_bar,average,casual,No,,,outdoor,Yes,,Yes,
$$$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,Yes
$,full_bar,average,casual,No,lot,Yes,outdoor,Yes,,Yes,
$,none,,,,,,,,,,
$,none,average,casual,No,lot,Yes,,No,Yes,Yes,
$,none,average,casual,No,lot,No,,No,Yes,Yes,
$$,full_bar,,casual,,,,,Yes,,Yes,
$,none,average,casual,No,lot,No,,No,Yes,Yes,
$,none,,casual,,,,,,,No,
$$,full_bar,quiet,casual,Yes,,No,,Yes,Yes,Yes,Yes
$,none,average,casual,Yes,,No,,No,No,No,
$,none,quiet,casual,Yes,lot,No,,Yes,Yes,Yes,
$$$,none,,casual,,,Yes,,,,Yes,
$$,full_bar,average,casual,No,lot,No,,No,No,Yes,
$$,beer_and_wine,,casual,No,,No,,No,,No,
$$,none,,casual,Yes,,,,,,Yes,
$$,full_bar,average,casual,No,valet,Yes,,No,No,No,
$,beer_and_wine,average,casual,Yes,,No,,Yes,No,Yes,
$$,full_bar,average,casual,Yes,lot,Yes,no,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$$,beer_and_wine,quiet,casual,No,garage,Yes,,Yes,No,Yes,
$$$$,full_bar,,casual,No,,,,No,,Yes,
$$,full_bar,average,casual,No,,No,,No,Yes,Yes,
$,none,,,,street,,,,,,
$$,full_bar,,casual,,,,,,,Yes,
$$,beer_and_wine,average,casual,No,lot,,,No,Yes,Yes,
$,none,,casual,No,,,,Yes,,Yes,
$,none,,casual,Yes,,,,No,,Yes,
$$,none,average,casual,Yes,lot,No,,No,Yes,No,
$$,none,,,,lot,Yes,,,,,
$,none,average,casual,No,lot,No,,Yes,Yes,No,
$,none,average,casual,No,,No,,,,Yes,
$$$,full_bar,average,casual,No,,No,,Yes,No,Yes,
$,none,average,dressy,No,,No,,Yes,,Yes,
$,none,,,,lot,,,Yes,,,
$$,none,,,,lot,,,,,,
$,none,average,casual,Yes,,Yes,,No,Yes,No,
$$,none,loud,,,,Yes,outdoor,Yes,,Yes,
$$,none,,,,,,,No,,,
$,none,average,casual,No,street,No,,No,Yes,Yes,Yes
$$,full_bar,quiet,casual,No,valet,No,,No,,Yes,
$,none,,casual,No,street,No,,No,,No,
$$,full_bar,average,casual,No,street,Yes,,Yes,,Yes,
$,none,,,,lot,Yes,,Yes,,,
$,none,,,,,,,,,,
$$,full_bar,average,casual,No,,No,,No,No,Yes,
$$,beer_and_wine,quiet,casual,No,lot,,,No,,Yes,
$$,full_bar,average,casual,No,lot,Yes,,No,No,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,,No,Yes,Yes,
$$,none,,,,lot,,,,,,
$,none,,,,,,,Yes,,,
$,none,average,casual,No,,No,,Yes,Yes,Yes,
$$$,full_bar,average,casual,No,street,No,,No,,Yes,
$,full_bar,average,casual,No,street,Yes,yes,No,,Yes,
$,none,,,,lot,,,,,,
$,none,,,,lot,,,,,,
$,none,average,casual,No,lot,Yes,no,No,Yes,No,
$$,full_bar,average,,,garage,,,No,,Yes,
$$,full_bar,average,casual,No,lot,Yes,outdoor,Yes,Yes,Yes,
$,none,,,,lot,,,,,,
$$,full_bar,average,casual,No,garage,Yes,outdoor,Yes,Yes,Yes,
$,none,,,,,,,,,,
$,none,,casual,No,,,,No,,Yes,
$,none,average,casual,No,lot,No,,No,Yes,Yes,
$,none,loud,casual,Yes,,No,,Yes,No,No,
$$,full_bar,quiet,casual,No,lot,No,,Yes,,Yes,Yes
$$,full_bar,average,casual,No,lot,Yes,,No,Yes,Yes,No
$,none,average,casual,Yes,street,No,,Yes,Yes,No,
$,none,average,,,lot,,no,No,,Yes,
$$,none,quiet,casual,No,,Yes,,No,No,Yes,
$,none,average,casual,No,garage,No,,Yes,Yes,Yes,
$$,none,,,,lot,,,,,,
$$,full_bar,average,casual,No,lot,Yes,,Yes,Yes,Yes,Yes
$$,full_bar,average,,,,No,no,No,,Yes,
$$,full_bar,average,casual,No,,Yes,,No,No,Yes,
$$,none,average,casual,No,lot,Yes,,No,No,Yes,
$,beer_and_wine,average,casual,No,lot,No,,Yes,No,Yes,
$,full_bar,average,casual,Yes,lot,Yes,outdoor,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,garage,,,Yes,Yes,Yes,
$$,full_bar,,casual,Yes,lot,Yes,,Yes,,Yes,
$$,beer_and_wine,quiet,casual,No,lot,No,,Yes,,Yes,Yes
$$,full_bar,average,,,lot,No,yes,No,,Yes,
$,none,,,,lot,,,,,,
$$,full_bar,loud,casual,No,street,Yes,,Yes,Yes,Yes,
$,none,average,casual,No,lot,No,,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,,No,Yes,No,
$$$,full_bar,loud,dressy,No,valet,Yes,outdoor,Yes,,Yes,
$$,full_bar,quiet,casual,No,lot,Yes,,Yes,,Yes,
$,beer_and_wine,quiet,casual,No,,,,Yes,,Yes,
$$$$,full_bar,average,dressy,No,street,Yes,,No,,Yes,
$,none,average,casual,No,,No,,Yes,No,No,
$$,none,,casual,Yes,,,,Yes,,Yes,
$,none,,casual,No,,,,No,,Yes,
$$$,none,loud,casual,,,No,,Yes,,Yes,
$$,none,,,,lot,,,Yes,,,
$$$$,full_bar,average,dressy,No,valet,Yes,,No,No,Yes,No
$$,full_bar,average,,,street,,outdoor,No,,Yes,
$$,none,,casual,,,No,,No,,Yes,
$$,beer_and_wine,average,casual,No,lot,No,,No,No,Yes,Yes
$$,none,,,,street,,,,,,
$$$,full_bar,average,dressy,,lot,No,,No,,Yes,
$,none,average,casual,No,,Yes,,Yes,Yes,Yes,
$$$,none,,,,lot,,,,,,
$,none,,,,,,,,,,
$$,none,,,,,,,,,,
$,none,very_loud,casual,Yes,garage,Yes,,No,Yes,No,
$,none,average,casual,No,,Yes,,No,No,Yes,
$$,full_bar,loud,,,lot,,outdoor,Yes,,Yes,
$$,full_bar,loud,casual,No,lot,,outdoor,No,No,Yes,
$$$,full_bar,average,dressy,No,lot,No,no,Yes,No,Yes,
$,none,quiet,casual,Yes,lot,,,No,Yes,Yes,
$,none,average,casual,Yes,,,,No,Yes,Yes,
$$,none,,,,lot,,,,,,
$$,full_bar,quiet,,,,No,outdoor,No,,Yes,
$$,full_bar,average,casual,Yes,lot,Yes,,No,Yes,Yes,
$$,none,,,,garage,,,,,,
$,none,,,,lot,,,,,,
$$,none,,,,street,,,Yes,,,
$,none,average,casual,Yes,,Yes,,No,Yes,Yes,Yes
$$,beer_and_wine,average,casual,No,lot,,,Yes,,Yes,
$$,full_bar,quiet,casual,No,lot,Yes,,Yes,,Yes,
$,none,,,,lot,,,Yes,,,
$$$,full_bar,average,casual,No,street,Yes,,No,Yes,No,
$$,full_bar,average,casual,No,lot,Yes,,No,,Yes,
$,none,average,casual,No,lot,Yes,,Yes,Yes,Yes,
$,none,,,,lot,,,Yes,,,
$$,full_bar,,casual,No,valet,Yes,outdoor,Yes,,Yes,
$,beer_and_wine,,casual,No,lot,Yes,,Yes,,Yes,
$,none,average,casual,No,,Yes,,Yes,No,No,
$,none,quiet,casual,No,,,,No,No,Yes,
$$,full_bar,loud,casual,No,street,Yes,,Yes,,Yes,
$,none,,,,lot,,,,,,
$$,none,,,,garage,,,,,,
$$,beer_and_wine,average,casual,No,street,No,,No,No,Yes,
$,none,,casual,No,,No,,Yes,,No,
